geonameid,asciiname,countrycode,latitude,longitude,feature code,population
3859965,Cosquin,AR,-31.24508,-64.46563,PPLA2,19070
3860164,Coronel Suarez,AR,-37.45467,-61.93343,PPLA2,27000
3860217,Coronda,AR,-31.97263,-60.91983,PPLA2,16975
3860259,Cordoba,AR,-31.4135,-64.18105,PPLA,1428214
3860443,Comodoro Rivadavia,AR,-45.86413,-67.49656,PPLA2,140850
3861056,Cipolletti,AR,-38.93392,-67.99032,PPL,75078
3861061,Cinco Saltos,AR,-38.82225,-68.06293,PPL,19819
3861344,Chivilcoy,AR,-34.89566,-60.01667,PPLA2,54514
3861416,Chimbas,AR,-31.48333,-68.53333,PPLA2,73829
3861445,Chilecito,AR,-29.16195,-67.4974,PPLA2,42248
3861678,Charata,AR,-27.21438,-61.18795,PPLA2,27813
3861953,Chacabuco,AR,-34.64167,-60.47389,PPLA2,34587
3862144,Centenario,AR,-38.82955,-68.1318,PPL,28956
3862240,Caucete,AR,-31.65179,-68.28105,PPLA2,33609
3862254,Catriel,AR,-37.87907,-67.7956,PPL,15169
3862320,Castelli,AR,-25.94679,-60.61947,PPLA2,36588
3862351,Casilda,AR,-33.04417,-61.16806,PPLA2,32002
3862655,Carcarana,AR,-32.85679,-61.15331,PPL,15619
3862738,Capitan Bermudez,AR,-32.82262,-60.71852,PPL,27060
3862981,Canada de Gomez,AR,-32.81636,-61.39493,PPLA2,36000
3863379,Caleta Olivia,AR,-46.43929,-67.52814,PPL,36077
3864331,Bell Ville,AR,-32.62591,-62.68873,PPLA2,35105
3864375,Bella Vista,AR,-27.03424,-65.30196,PPLA2,15126
3865086,Bahia Blanca,AR,-38.71959,-62.27243,PPLA2,276546
3865385,Arroyo Seco,AR,-33.15489,-60.50863,PPL,20620
3865424,Arroyito,AR,-31.42022,-63.05002,PPL,19577
3865840,Anatuya,AR,-28.46064,-62.83472,PPLA2,20261
3866163,Alta Gracia,AR,-31.65292,-64.42826,PPLA2,40384
3866242,Allen,AR,-38.97736,-67.82714,PPL,26083
3866367,Alderetes,AR,-26.81667,-65.13333,PPL,38466
3866425,Albardon,AR,-31.43722,-68.52556,PPL,20413
3866496,Aguilares,AR,-27.4338,-65.61427,PPLA2,32494
6693228,Balvanera,AR,-34.61032,-58.39766,PPLX,152198
6693230,Villa Santa Rita,AR,-34.61082,-58.481,PPLX,34000
7116866,Villa Mercedes,AR,-33.67571,-65.45783,PPL,96781
7645166,San Miguel,AR,-34.54335,-58.71229,PPL,157532
7647007,San Carlos de Bariloche,AR,-41.14557,-71.30822,PPLA3,95394
10172104,Adrogue,AR,-34.80041,-58.38384,PPL,28265
11147723,Ingeniero Pablo Nogues,AR,-34.47775,-58.70652,PPL,38470
12076997,Jose C. Paz,AR,-34.51541,-58.76813,PPLA2,230208
5881576,Pago Pago,AS,-14.27806,-170.7025,PPLC,11500
2761164,Wilten,AT,47.25829,11.38808,PPLX,18142
2761353,Wiener Neustadt,AT,47.80485,16.23196,PPLA3,44820
2761369,Vienna,AT,48.20849,16.37208,PPLC,1691468
2761436,Wetzelsdorf,AT,47.05293,15.39923,PPLX,15687
2761524,Wels,AT,48.16667,14.03333,PPLA2,16857
2761669,Weinzierl bei Krems,AT,48.4,15.6,PPLX,24092
2762372,Villach,AT,46.61028,13.85583,PPLA2,58882
2763810,Telfs,AT,47.30707,11.06817,PPLA3,15229
2764178,Strassgang,AT,47.03333,15.4,PPL,16268
2764279,Stockerau,AT,48.38333,16.21667,PPLA3,16292
2764359,Steyr,AT,48.04274,14.42127,PPLA3,38331
2765028,Simmering,AT,48.18333,16.43333,PPLX,101420
2766429,Sankt Poelten,AT,48.2,15.63333,PPLA,21911
2766446,Sankt Peter,AT,47.05,15.46667,PPLX,15187
2766447,Sankt Peter,AT,46.62978,14.34016,PPLX,20320
2766522,Sankt Martin,AT,46.61667,14.28333,PPLX,20000
2766824,Salzburg,AT,47.79941,13.04399,PPLA,153377
2766922,Saalfelden am Steinernen Meer,AT,47.42681,12.848,PPLA3,16790
2768442,Pradl,AT,47.26539,11.4152,PPLX,32588
2769110,Perchtoldsdorf,AT,48.11935,16.26607,PPLA3,15047
2769359,Ottakring,AT,48.21667,16.3,PPLX,104627
2771335,Moedling,AT,48.08605,16.28921,PPLA3,20555
2771706,Meidling,AT,48.16667,16.33333,PPLX,97624
2772173,Lustenau,AT,47.42642,9.65851,PPLA3,22821
2772400,Linz,AT,48.30639,14.28611,PPLA,204846
2773913,Klosterneuburg,AT,48.30521,16.32522,PPLA3,15614
2774326,Klagenfurt am Woerthersee,AT,46.62472,14.30528,PPLA,90610
2775220,Innsbruck,AT,47.26266,11.39454,PPLA,132493
2775260,Innere Stadt,AT,48.20906,16.37135,PPLX,16450
2775479,Hoetting,AT,47.26815,11.36868,PPLX,35043
2775742,Hohenems,AT,47.36121,9.68694,PPLA3,16317
2776421,Hietzing,AT,48.18623,16.2965,PPLX,54265
2776488,Hernals,AT,48.23333,16.26667,PPLX,57546
2778067,Graz,AT,47.06667,15.45,PPLA,222326
2779469,Floridsdorf,AT,48.25,16.4,PPLX,162779
2779674,Feldkirch,AT,47.23306,9.6,PPLA2,33420
2780361,Eggenberg,AT,47.07,15.39871,PPLX,20511
2780741,Dornbirn,AT,47.41427,9.74195,PPLA3,49278
2781503,Bregenz,AT,47.50311,9.7471,PPLA,29471
2782067,Baden,AT,48.00543,16.23264,PPLA3,26286
2782555,Amstetten,AT,48.1229,14.87206,PPLA3,15559
8063098,Favoriten,AT,48.16116,16.38233,PPLX,201882
11903636,Donaustadt,AT,48.2333,16.46002,PPLX,187007
11903637,Jakomini,AT,47.05441,15.44984,PPLX,32912
11903638,Lend,AT,47.08256,15.41589,PPLX,31147
11903639,Geidorf,AT,47.08393,15.444,PPLX,24767
11903640,Sankt Leonhard,AT,47.06924,15.45784,PPLX,15853
11903641,Andritz,AT,47.11387,15.42348,PPLX,19020
11903642,Gries,AT,47.06236,15.42421,PPLX,29363
2061840,Scarborough,AU,-31.89578,115.76431,PPLX,15258
2062338,Rockingham,AU,-32.27682,115.72978,PPLA2,108022
2063523,Perth,AU,-31.95224,115.8614,PPLA,1896548
